"";"sitio";"id_planta";"fruto";"fecha";"muestreo";"d1";"long";"pf_fr";"ps_fr";"pf_sem";"ps_sem";"d_sem";"l_sem";"p_36h_sem";"hilera";"planta";"d2";"diam_medio";"ps_cas"
"170";"los_sauces";"5_12";10;2023-03-08;3;45,8;51,4;53,9;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
"171";"los_sauces";"5_34";1;2023-03-08;3;43,7;48,1;48,6;NA;7,4;5,292;NA;NA;NA;NA;NA;NA;NA;NA
"172";"los_sauces";"5_34";2;2023-03-08;3;35;37,6;25,5;NA;3;2,127;NA;NA;NA;NA;NA;NA;NA;NA
"173";"los_sauces";"5_34";3;2023-03-08;3;44,3;49,8;51,8;NA;8,1;5,67;NA;NA;NA;NA;NA;NA;NA;NA
"174";"los_sauces";"5_34";4;2023-03-08;3;44;46,6;48,1;NA;7,1;5,097;NA;NA;NA;NA;NA;NA;NA;NA
"175";"los_sauces";"5_34";5;2023-03-08;3;41,6;47,8;44,5;NA;6,5;4,648;NA;NA;NA;NA;NA;NA;NA;NA
"176";"los_sauces";"5_34";6;2023-03-08;3;33,4;40;22,6;NA;NA;3,5528;NA;NA;NA;NA;NA;NA;NA;NA
"177";"los_sauces";"5_34";7;2023-03-08;3;43,2;49,2;50,6;NA;6,1;NA;NA;NA;NA;NA;NA;NA;NA;NA
"178";"los_sauces";"5_34";8;2023-03-08;3;43,7;50,5;55,3;NA;7,1;NA;NA;NA;NA;NA;NA;NA;NA;NA
"179";"los_sauces";"5_34";9;2023-03-08;3;41,4;52,1;55,5;NA;7,7;NA;NA;NA;NA;NA;NA;NA;NA;NA
"180";"los_sauces";"5_34";10;2023-03-08;3;37,8;40,4;26,8;NA;4,8;NA;NA;NA;NA;NA;NA;NA;NA;NA
"181";"los_sauces";"7_13";1;2023-03-08;3;43,7;49,4;52,5;NA;6,6;4,758;NA;NA;NA;NA;NA;NA;NA;NA
"182";"los_sauces";"7_13";2;2023-03-08;3;44,2;48,8;51,2;NA;7;4,966;NA;NA;NA;NA;NA;NA;NA;NA
"183";"los_sauces";"7_13";3;2023-03-08;3;43,5;50,7;48,1;NA;6,3;4,04;NA;NA;NA;NA;NA;NA;NA;NA
"184";"los_sauces";"7_13";4;2023-03-08;3;43,4;47,7;47,6;NA;7,3;5,133;NA;NA;NA;NA;NA;NA;NA;NA
"185";"los_sauces";"7_13";5;2023-03-08;3;44,9;50,9;55,8;NA;7,8;5,398;NA;NA;NA;NA;NA;NA;NA;NA
